trait,description
BXD_24556,Cancer: Makowski_TIMER_000083 (liza.makowski@uthsc.edu)
BXD_24557,Cancer: Makowski_TIMER_000084 (liza.makowski@uthsc.edu)
BXD_24558,Cancer: Makowski_TIMER_000085 (liza.makowski@uthsc.edu)
BXD_24559,Cancer: Makowski_TIMER_000086 (liza.makowski@uthsc.edu)
BXD_24560,Cancer: Makowski_TIMER_000087 (liza.makowski@uthsc.edu)
BXD_24561,Cancer: Makowski_TIMER_000088 (liza.makowski@uthsc.edu)
BXD_24562,Cancer: Makowski_TIMER_000089 (liza.makowski@uthsc.edu)
BXD_24563,Cancer: Makowski_TIMER_000090 (liza.makowski@uthsc.edu)
BXD_24564,Cancer: Makowski_TIMER_000091 (liza.makowski@uthsc.edu)
BXD_24565,Cancer: Makowski_TIMER_000092 (liza.makowski@uthsc.edu)
BXD_24566,Cancer: Makowski_TIMER_000093 (liza.makowski@uthsc.edu)
BXD_24567,Cancer: Makowski_TIMER_000094 (liza.makowski@uthsc.edu)
BXD_24568,Cancer: Makowski_TIMER_000095 (liza.makowski@uthsc.edu)
BXD_24569,Cancer: Makowski_TIMER_000096 (liza.makowski@uthsc.edu)
BXD_24570,Cancer: Makowski_TIMER_000097 (liza.makowski@uthsc.edu)
BXD_24571,Cancer: Makowski_TIMER_000098 (liza.makowski@uthsc.edu)
BXD_24572,Cancer: Makowski_TIMER_000099 (liza.makowski@uthsc.edu)
BXD_24573,Cancer: Makowski_TIMER_000100 (liza.makowski@uthsc.edu)
BXD_24574,Cancer: Makowski_TIMER_000101 (liza.makowski@uthsc.edu)
BXD_24575,Cancer: Makowski_TIMER_000102 (liza.makowski@uthsc.edu)
BXD_24576,Cancer: Makowski_TIMER_000103 (liza.makowski@uthsc.edu)
BXD_24577,Cancer: Makowski_TIMER_000104 (liza.makowski@uthsc.edu)
BXD_24578,Cancer: Makowski_TIMER_000105 (liza.makowski@uthsc.edu)
BXD_24579,Cancer: Makowski_TIMER_000106 (liza.makowski@uthsc.edu)
BXD_24580,Cancer: Makowski_TIMER_000107 (liza.makowski@uthsc.edu)
BXD_24581,Cancer: Makowski_TIMER_000108 (liza.makowski@uthsc.edu)
BXD_24582,Cancer: Makowski_TIMER_000109 (liza.makowski@uthsc.edu)
BXD_24583,Cancer: Makowski_TIMER_000110 (liza.makowski@uthsc.edu)
BXD_24584,Cancer: Makowski_TIMER_000111 (liza.makowski@uthsc.edu)
BXD_24585,Cancer: Makowski_TIMER_000112 (liza.makowski@uthsc.edu)
BXD_24586,Cancer: Makowski_TIMER_000113 (liza.makowski@uthsc.edu)
BXD_24587,Cancer: Makowski_TIMER_000114 (liza.makowski@uthsc.edu)
BXD_24588,Cancer: Makowski_TIMER_000115 (liza.makowski@uthsc.edu)
BXD_24589,Cancer: Makowski_TIMER_000116 (liza.makowski@uthsc.edu)
BXD_24590,Cancer: Makowski_TIMER_000117 (liza.makowski@uthsc.edu)
BXD_24591,Cancer: Makowski_TIMER_000118 (liza.makowski@uthsc.edu)
BXD_24592,Cancer: Makowski_TIMER_000119 (liza.makowski@uthsc.edu)
BXD_24593,Cancer: Makowski_TIMER_000120 (liza.makowski@uthsc.edu)
BXD_24594,Cancer: Makowski_TIMER_000121 (liza.makowski@uthsc.edu)
BXD_24595,Cancer: Makowski_TIMER_000122 (liza.makowski@uthsc.edu)
BXD_24596,Cancer: Makowski_TIMER_000123 (liza.makowski@uthsc.edu)
BXD_24597,Cancer: Makowski_TIMER_000124 (liza.makowski@uthsc.edu)
BXD_24598,Cancer: Makowski_TIMER_100001 (liza.makowski@uthsc.edu)
BXD_24599,Cancer: Makowski_TIMER_100002 (liza.makowski@uthsc.edu)
BXD_24600,Cancer: Makowski_TIMER_100003 (liza.makowski@uthsc.edu)
BXD_24601,Cancer: Makowski_TIMER_100004 (liza.makowski@uthsc.edu)
BXD_24602,Cancer: Makowski_TIMER_100005 (liza.makowski@uthsc.edu)
BXD_24603,Cancer: Makowski_TIMER_100006 (liza.makowski@uthsc.edu)
BXD_24604,Cancer: Makowski_TIMER_100007 (liza.makowski@uthsc.edu)
BXD_24605,Cancer: Makowski_TIMER_100008 (liza.makowski@uthsc.edu)
BXD_24606,Cancer: Makowski_TIMER_100009 (liza.makowski@uthsc.edu)
BXD_24607,Cancer: Makowski_TIMER_100010 (liza.makowski@uthsc.edu)
BXD_24608,Cancer: Makowski_TIMER_100011 (liza.makowski@uthsc.edu)
BXD_24609,Cancer: Makowski_TIMER_100012 (liza.makowski@uthsc.edu)
BXD_24610,Cancer: Makowski_TIMER_100013 (liza.makowski@uthsc.edu)
BXD_24611,Cancer: Makowski_TIMER_100014 (liza.makowski@uthsc.edu)
BXD_24612,Cancer: Makowski_TIMER_100015 (liza.makowski@uthsc.edu)
BXD_24613,Cancer: Makowski_TIMER_100016 (liza.makowski@uthsc.edu)
BXD_24614,Cancer: Makowski_TIMER_100017 (liza.makowski@uthsc.edu)
BXD_24615,Cancer: Makowski_TIMER_100018 (liza.makowski@uthsc.edu)
BXD_24616,Cancer: Makowski_TIMER_100019 (liza.makowski@uthsc.edu)
BXD_24617,Cancer: Makowski_TIMER_100020 (liza.makowski@uthsc.edu)
BXD_24618,Cancer: Makowski_TIMER_100021 (liza.makowski@uthsc.edu)
BXD_24619,Cancer: Makowski_TIMER_100022 (liza.makowski@uthsc.edu)
BXD_24620,Cancer: Makowski_TIMER_100023 (liza.makowski@uthsc.edu)
BXD_24621,Cancer: Makowski_TIMER_100024 (liza.makowski@uthsc.edu)
BXD_24622,Cancer: Makowski_TIMER_100025 (liza.makowski@uthsc.edu)
BXD_24623,Cancer: Makowski_TIMER_100026 (liza.makowski@uthsc.edu)
BXD_24624,Cancer: Makowski_TIMER_100027 (liza.makowski@uthsc.edu)
BXD_24625,Cancer: Makowski_TIMER_100028 (liza.makowski@uthsc.edu)
BXD_24626,Cancer: Makowski_TIMER_100029 (liza.makowski@uthsc.edu)
BXD_24627,Cancer: Makowski_TIMER_100030 (liza.makowski@uthsc.edu)
BXD_24628,Cancer: Makowski_TIMER_100031 (liza.makowski@uthsc.edu)
BXD_24629,Cancer: Makowski_TIMER_100032 (liza.makowski@uthsc.edu)
BXD_24630,Cancer: Makowski_TIMER_100033 (liza.makowski@uthsc.edu)
BXD_24631,Cancer: Makowski_TIMER_100034 (liza.makowski@uthsc.edu)
BXD_24632,Cancer: Makowski_TIMER_100035 (liza.makowski@uthsc.edu)
BXD_24633,Cancer: Makowski_TIMER_100036 (liza.makowski@uthsc.edu)
BXD_24634,Cancer: Makowski_TIMER_100037 (liza.makowski@uthsc.edu)
BXD_24635,Cancer: Makowski_TIMER_100038 (liza.makowski@uthsc.edu)
BXD_24636,Cancer: Makowski_TIMER_100039 (liza.makowski@uthsc.edu)
BXD_24637,Cancer: Makowski_TIMER_100040 (liza.makowski@uthsc.edu)
BXD_24638,Cancer: Makowski_TIMER_100041 (liza.makowski@uthsc.edu)
BXD_24639,Cancer: Makowski_TIMER_100042 (liza.makowski@uthsc.edu)
BXD_24640,Cancer: Makowski_TIMER_100043 (liza.makowski@uthsc.edu)
BXD_24641,Cancer: Makowski_TIMER_100044 (liza.makowski@uthsc.edu)
BXD_24642,Cancer: Makowski_TIMER_100045 (liza.makowski@uthsc.edu)
BXD_24643,Cancer: Makowski_TIMER_100046 (liza.makowski@uthsc.edu)
BXD_24644,Cancer: Makowski_TIMER_100047 (liza.makowski@uthsc.edu)
BXD_24645,Cancer: Makowski_TIMER_100048 (liza.makowski@uthsc.edu)
BXD_24646,Cancer: Makowski_TIMER_100049 (liza.makowski@uthsc.edu)
BXD_24647,Cancer: Makowski_TIMER_100050 (liza.makowski@uthsc.edu)
BXD_24648,Cancer: Makowski_TIMER_100051 (liza.makowski@uthsc.edu)
BXD_24649,Cancer: Makowski_TIMER_100052 (liza.makowski@uthsc.edu)
BXD_24650,Cancer: Makowski_TIMER_100053 (liza.makowski@uthsc.edu)
BXD_24651,Cancer: Makowski_TIMER_100054 (liza.makowski@uthsc.edu)
BXD_24652,Cancer: Makowski_TIMER_100055 (liza.makowski@uthsc.edu)
BXD_24653,Cancer: Makowski_TIMER_100056 (liza.makowski@uthsc.edu)
BXD_24654,Cancer: Makowski_TIMER_100057 (liza.makowski@uthsc.edu)
BXD_24655,Cancer: Makowski_TIMER_100058 (liza.makowski@uthsc.edu)
BXD_24656,Cancer: Makowski_TIMER_100059 (liza.makowski@uthsc.edu)
BXD_24657,Cancer: Makowski_TIMER_100060 (liza.makowski@uthsc.edu)
BXD_24658,Cancer: Makowski_TIMER_100061 (liza.makowski@uthsc.edu)
BXD_24659,Cancer: Makowski_TIMER_100062 (liza.makowski@uthsc.edu)
BXD_24660,Cancer: Makowski_TIMER_100063 (liza.makowski@uthsc.edu)
BXD_24661,Cancer: Makowski_TIMER_100064 (liza.makowski@uthsc.edu)
BXD_24662,Cancer: Makowski_TIMER_100065 (liza.makowski@uthsc.edu)
BXD_24663,Cancer: Makowski_TIMER_100066 (liza.makowski@uthsc.edu)
BXD_24664,Cancer: Makowski_TIMER_100067 (liza.makowski@uthsc.edu)
BXD_24665,Cancer: Makowski_TIMER_100068 (liza.makowski@uthsc.edu)
BXD_24666,Cancer: Makowski_TIMER_100069 (liza.makowski@uthsc.edu)
BXD_24667,Cancer: Makowski_TIMER_100070 (liza.makowski@uthsc.edu)
BXD_24668,Cancer: Makowski_TIMER_100071 (liza.makowski@uthsc.edu)
BXD_24669,Cancer: Makowski_TIMER_100072 (liza.makowski@uthsc.edu)
BXD_24670,Cancer: Makowski_TIMER_100073 (liza.makowski@uthsc.edu)
BXD_24671,Cancer: Makowski_TIMER_100074 (liza.makowski@uthsc.edu)
BXD_24672,Cancer: Makowski_TIMER_100075 (liza.makowski@uthsc.edu)
BXD_24673,Cancer: Makowski_TIMER_100076 (liza.makowski@uthsc.edu)
BXD_24674,Cancer: Makowski_TIMER_100077 (liza.makowski@uthsc.edu)
BXD_24675,Cancer: Makowski_TIMER_100078 (liza.makowski@uthsc.edu)
BXD_24676,Cancer: Makowski_TIMER_100079 (liza.makowski@uthsc.edu)
BXD_24677,Cancer: Makowski_TIMER_100080 (liza.makowski@uthsc.edu)
BXD_24678,Cancer: Makowski_TIMER_100081 (liza.makowski@uthsc.edu)
BXD_24679,Cancer: Makowski_TIMER_100082 (liza.makowski@uthsc.edu)
BXD_24680,Cancer: Makowski_TIMER_100083 (liza.makowski@uthsc.edu)
BXD_24681,Cancer: Makowski_TIMER_100084 (liza.makowski@uthsc.edu)
BXD_24682,Cancer: Makowski_TIMER_100085 (liza.makowski@uthsc.edu)
BXD_24683,Cancer: Makowski_TIMER_100086 (liza.makowski@uthsc.edu)
BXD_24684,Cancer: Makowski_TIMER_100087 (liza.makowski@uthsc.edu)
BXD_24685,Cancer: Makowski_TIMER_100088 (liza.makowski@uthsc.edu)
BXD_24686,Cancer: Makowski_TIMER_100089 (liza.makowski@uthsc.edu)
BXD_24687,Cancer: Makowski_TIMER_100090 (liza.makowski@uthsc.edu)
BXD_24688,Cancer: Makowski_TIMER_100091 (liza.makowski@uthsc.edu)
BXD_24689,Cancer: Makowski_TIMER_100092 (liza.makowski@uthsc.edu)
BXD_24690,Cancer: Makowski_TIMER_100093 (liza.makowski@uthsc.edu)
BXD_24691,Cancer: Makowski_TIMER_100094 (liza.makowski@uthsc.edu)
BXD_24692,Cancer: Makowski_TIMER_100095 (liza.makowski@uthsc.edu)
BXD_24693,Cancer: Makowski_TIMER_100096 (liza.makowski@uthsc.edu)
BXD_24694,Cancer: Makowski_TIMER_100097 (liza.makowski@uthsc.edu)
BXD_24695,Cancer: Makowski_TIMER_100098 (liza.makowski@uthsc.edu)
BXD_24696,Cancer: Makowski_TIMER_100099 (liza.makowski@uthsc.edu)
BXD_24697,Cancer: Makowski_TIMER_100100 (liza.makowski@uthsc.edu)
BXD_24698,Cancer: Makowski_TIMER_100101 (liza.makowski@uthsc.edu)
BXD_24699,Cancer: Makowski_TIMER_100102 (liza.makowski@uthsc.edu)
BXD_24700,Cancer: Makowski_TIMER_100103 (liza.makowski@uthsc.edu)
BXD_24701,Cancer: Makowski_TIMER_100104 (liza.makowski@uthsc.edu)
BXD_24702,Cancer: Makowski_TIMER_100105 (liza.makowski@uthsc.edu)
BXD_24703,Cancer: Makowski_TIMER_100106 (liza.makowski@uthsc.edu)
BXD_24704,Cancer: Makowski_TIMER_100107 (liza.makowski@uthsc.edu)
BXD_24705,Cancer: Makowski_TIMER_100108 (liza.makowski@uthsc.edu)
BXD_24706,Cancer: Makowski_TIMER_100109 (liza.makowski@uthsc.edu)
BXD_24707,Cancer: Makowski_TIMER_100110 (liza.makowski@uthsc.edu)
BXD_24708,Cancer: Makowski_TIMER_100111 (liza.makowski@uthsc.edu)
BXD_24709,Cancer: Makowski_TIMER_100112 (liza.makowski@uthsc.edu)
BXD_24710,Cancer: Makowski_TIMER_100113 (liza.makowski@uthsc.edu)
BXD_24711,Cancer: Makowski_TIMER_100114 (liza.makowski@uthsc.edu)
BXD_24712,Cancer: Makowski_TIMER_100115 (liza.makowski@uthsc.edu)
BXD_24713,Cancer: Makowski_TIMER_100116 (liza.makowski@uthsc.edu)
BXD_24714,Cancer: Makowski_TIMER_100117 (liza.makowski@uthsc.edu)
BXD_24715,Cancer: Makowski_TIMER_100118 (liza.makowski@uthsc.edu)
BXD_24716,Cancer: Makowski_TIMER_100119 (liza.makowski@uthsc.edu)
BXD_24717,Cancer: Makowski_TIMER_100120 (liza.makowski@uthsc.edu)
BXD_24718,Cancer: Makowski_TIMER_100121 (liza.makowski@uthsc.edu)
BXD_24719,Cancer: Makowski_TIMER_100122 (liza.makowski@uthsc.edu)
BXD_24720,Cancer: Makowski_TIMER_100123 (liza.makowski@uthsc.edu)
BXD_24721,"Central nervous system, behavior, motor learning: motor performance improvements was calculated on rotarod at constant acceleration (4 to 40 rpm) over 2 minutes where day 3 was subtracted from the performance on day 1 (mean of day 3- mean of day 1) at the postnatal ages (P)90-P120"
BXD_24722,"Central nervous system, behavior, motor learning: The difference in time [sec] on rotarod at constant acceleration (4 to 40 rpm) over 2 minutes between day 3 and day 1 performance at the postnatal ages (P)90-P120"
BXD_24723,"Central nervous system, behaviour, Fore- & Hind limb placement accuracy: The performance of accurate limb placement on horizontal ladder walking task containing irregular walking pattern at the postnatal ages (P)90-P120 (BXD 40 winsorized from 0.051 to 0.046 & BXD 69 winsorized from 0.051 to 0.046 by JRS)"
BXD_24724,"Central nervous system, behaviour, Fore- & Hind limb placement: The rate of missteps on horizontal ladder walking task containing irregular walking pattern at the postnatal ages (P)90-P120 "
BXD_24725,"Central nervous system, behaviour, fore- & hind limb placement: The rate of correction in limb placement on horizontal ladder walking task containing irregular walking pattern at the postnatal ages (P)90-P120 (BXD32 winsorized from -0.030 to -0.016 by JRS)"
BXD_24726,"Central nervous system, behavior, skilled motor learning: Percentage of success in which the food pellet is obtained on the first advance of the forelimb towards the food over 10 days of performance on skilled motor reaching task at the postnatal ages (P)90-P120"
BXD_24727,"Central nervous System, behavior, skilled motor learning: Percentage of Non first advance of the forelimb towards the food over 10 days of performance on skilled motor reaching task at the postnatal ages (P)90-P120"
BXD_24728,"Central nervous system, behavior, skilled motor learning: Difference between the average performance on the first 2 days and the last 2 days, divided by the number of inter-trial intervals."
BXD_24729,"Central nervous system, behavior, motor learning: motor performance improvements was calculated on complex wheel where day 3 was subtracted from the performance on day 1 (mean of day 3- mean of day 1) at the postnatal ages (P)90-P120"
BXD_24730,"Central nervous System, Behavior, Motor learning: The difference between intratrial day 1 performance of time [sec] on complex wheel task containing irregular walking pattern at the postnatal ages (P)90-P120"
BXD_24731,"Genetics, genomics: SINEs detected in sequencing of each BXD strain, counts of high quality hits in BLAST (e-score <1E-10, length > 149 nucleotides, identify > 75%) [n]"
BXD_24732,"Aging, metabolism, morphology: Body weight change from baseline to 6 months of age on standard chow diet (Harlan Teklad 7912 chow diet, 18% fat), 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g]"
BXD_24733,"Aging, metabolism, morphology: Body weight change from 6 to 12 months of age on standard chow diet (Harlan Teklad 7912 chow diet, 18% fat), 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g]"
BXD_24734,"Aging, metabolism, morphology: Body weight change from 12 to 18 months of age on standard chow diet (Harlan Teklad 7912 chow diet, 18% fat), 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g]"
BXD_24735,"Aging, metabolism, morphology: Body weight change from 18 to 24 months of age on standard chow diet (Harlan Teklad 7912 chow diet, 18% fat), 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g]"
BXD_24736,"Aging, metabolism, morphology: Body weight change from baseline to 6 months of age on high fat diet (Harlan Teklad 06414, 18.4% protein, 60.3% calories from fat, 5.1 kcal/g); 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g] "
BXD_24737,"Aging, metabolism, morphology: Body weight change from 6 to 12 months of age on high fat diet (Harlan Teklad 06414, 18.4% protein, 60.3% calories from fat, 5.1 kcal/g); 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g] "
BXD_24738,"Aging, metabolism, morphology: Body weight change from 12 to 18 months of age on high fat diet (Harlan Teklad 06414, 18.4% protein, 60.3% calories from fat, 5.1 kcal/g); 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g]"
BXD_24739,"Aging, metabolism, morphology: Body weight change from 18 to 24 months of age on high fat diet (Harlan Teklad 06414, 18.4% protein, 60.3% calories from fat, 5.1 kcal/g); 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage [g] "
BXD_24740,"Immune system, autoimmune disease: MOG35-55 EAE model, incidence rate in females"
BXD_24741,"Immune system, autoimmune disease: MOG35-55 EAE model, peak clinical score in females"
BXD_24742,"Immune system, autoimmune disease: MOG35-55 EAE model, day of symptom development in females with disease"
BXD_24743,"Immune system, autoimmune disease: MOG35-55 EAE model, length of acute disease in symptomatic females"
BXD_24744,"Immune system, autoimmune disease: MOG35-55 EAE model, clinical score in females at study termination (day 30 post-immunization)"
BXD_24745,"Central nervous system, behavior: Activity in a novel environment, arm visit time during an 8-arm radial maze test on day 1 in females at 11 to 13 weeks of age [sec]"
BXD_24746,"Central nervous system, behavior: Activity in a novel environment, arm visit time during an 8-arm radial maze test on day 2 in females at 11 to 13 weeks of age [sec]"
BXD_24747,"Central nervous system, behavior: Habituation to a novel environment, arm visit time during an 8-arm radial maze test, measured as the difference between days 1 and 2 in females at 11 to 13 weeks of age [sec]"
BXD_24748,"Central nervous system, behavior: Activity in a novel environment, arm visit time during an 8-arm radial maze test on day 1 in females and males at 11 to 13 weeks of age [sec]"
BXD_24749,"Central nervous system, behavior: Activity in a novel environment, arm visit time during an 8-arm radial maze test on day 2 in females and males at 11 to 13 weeks of age [sec]"
BXD_24750,"Central nervous system, behavior: Habituation to a novel environment, arm visit time during an 8-arm radial maze test, measured as the difference between days 1 and 2 in females and males at 11 to 13 weeks of age [sec]"
BXD_24751,"Central nervous system, behavior: Activity in a novel environment, arm visit time during an 8-arm radial maze test on day 1 in males at 11 to 13 weeks of age [sec]"
BXD_24752,"Central nervous system, behavior: Activity in a novel environment, arm visit time during an 8-arm radial maze test on day 2 in males at 11 to 13 weeks of age [sec]"
BXD_24753,"Central nervous system, behavior: Habituation to a novel environment, arm visit time during an 8-arm radial maze test, measured as the difference between days 1 and 2 in males at 11 to 13 weeks of age [sec]"
BXD_24754,"Aging, metabolism: Lifespan, mean longevity of females at UTHSC on high fat diet (HFD) supplemented with 1% nicotinamide (NAM, aka vitamin B3; Teklad custom diet TD.180921 with 1% (10g/kg) added to HFD, 60% kcal from fat (TD.06414)), 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage, updated Feb 2023 (n = 98) [days]"
BXD_24755,mean_LD1
BXD_24756,var_LD1
BXD_24757,mean_centroid
BXD_24758,var_centroid
BXD_24759,mean_mesh_volume
BXD_24760,mean_surface_area
BXD_24761,mean_ben_sizes
BXD_24762,median_mesh_volume
BXD_24763,median_surface_area
BXD_24764,median_ben_sizes
BXD_24765,mean_PC1
BXD_24766,mean_PC2
BXD_24767,mean_PC3
BXD_24768,median_PC1
BXD_24769,median_PC2
BXD_24770,median_PC3
BXD_24781,"winsorized strains include
BXD102
BXD56
BXD29 
BXD99
BXD9
BXD71"
BXD_24782,Description unavailable
BXD_24793,Unpublished data
BXD_24794,Cardiovascular system: Body weight during echocardiography of 4-5 month old females [g]
BXD_24795,Cardiovascular system: Pulmonary valve peak velosity by echocardiography of 4-5 month old females [mm/s]
BXD_24796,Cardiovascular system: Pulmonary valve peak pressure by echocardiography of 4-5 month old females [mmHg]
BXD_24797,Cardiovascular system: Septum thickness by echocardiography of 4-5 month old females [mm]
BXD_24798,Cardiovascular system: Septum thickness by echocardiography of 4-5 month old females [mm]
BXD_24799,Cardiovascular system: End-diastolic diameter by echocardiography of 4-5 month old females [mm]
BXD_24800,Cardiovascular system: End-systolic diameter by echocardiography of 4-5 month old females [mm]
BXD_24801,Cardiovascular system: Posterior wall thickness by echocardiography of 4-5 month old females [mm]
BXD_24802,Cardiovascular system: Posterior wall thickness by echocardiography of 4-5 month old females [mm]
BXD_24803,Cardiovascular system: Ejection fraction by echocardiography of 4-5 month old females [%]
BXD_24804,Cardiovascular system: Shortening fraction by echocardiography of 4-5 month old females [%]
BXD_24805,Cardiovascular system: Left ventricular mass by echocardiography of 4-5 month old females [mg]
BXD_24806,Cardiovascular system: Left ventricular volumn by echocardiography of 4-5 monthold females [mg]
BXD_24807,Cardiovascular system: Left ventricular volumn by echocardiography of 4-5 monthold females [mg]
BXD_24808,"Cardiovascular system, physiology: Heart rate during echocardiography of 4-5 monthold females [beat/min]"
BXD_24809,Cardiovascular system: Cardiac output  by echoc by echocardiography of 4-5 month old females [ml/min]
BXD_24810,Cardiovascular system: End-diastolic diameter by echocardiography of 4-5 month old females [mm]
BXD_24811,Cardiovascular system: Body weight during echocardiography of 4-5 month old males [g]
BXD_24812,Cardiovascular system: Pulmonary valve peak velosity by echocardiography of 4-5 month old males [mm/s]
BXD_24813,Cardiovascular system: Pulmonary valve peak pressure by echocardiography of 4-5 month old males [mmHg]
BXD_24814,Cardiovascular system: Septum thickness by echocardiography of 4-5 month old males [mm]
BXD_24815,Cardiovascular system: Septum thickness by echocardiography of 4-5 month old males [mm]
BXD_24816,Cardiovascular system: End-diastolic diameter by echocardiography of 4-5 month old males [mm]
BXD_24817,Cardiovascular system: End-systolic diameter by echocardiography of 4-5 month old males [mm]
BXD_24818,Cardiovascular system: Posterior wall thickness by echocardiography of 4-5 month old males [mm]
BXD_24819,Cardiovascular system: Posterior wall thickness by echocardiography of 4-5 month old males [mm]
BXD_24820,Cardiovascular system: Ejection fraction by echocardiography of 4-5 month old males [%]
BXD_24821,Cardiovascular system: Shortening fraction by echocardiography of 4-5 month old males [%]
BXD_24822,Cardiovascular system: Left ventricular mass by echocardiography of 4-5 month old males [mg]
BXD_24823,Cardiovascular system: Left ventricular volumn by echocardiography of 4-5 monthold males [mg]
BXD_24824,Cardiovascular system: Left ventricular volumn by echocardiography of 4-5 monthold males [mg]
BXD_24825,"Cardiovascular system, physiology: Heart rate during echocardiography of 4-5 monthold males [beat/min]"
BXD_24826,Cardiovascular system: Cardiac output  by echoc by echocardiography of 4-5 month old males [ml/min]
BXD_24827,Cardiovascular system: End-diastolic diameter by echocardiography of 4-5 month old males [mm]
BXD_24828,"Cofactor, genetics: Inbreeding coefficient of isogenic BXD family members where 1 = fully inbred strains (BXD1 to BXD223), 0.5 = F1 hybrid of BXD parental strains, and 0 = B2D2F1 and D2B6F1 "
BXD_24829,"Infectious disease, immunology, meta-genomics: M. tuberculosis colony forming units in lung at 4 weeks post-infection [log10 CFU]"
BXD_24830,"Infectious disease, immunology, meta-genomics: M. tuberculosis colony forming units in spleen at 4 weeks post-infection [log10 CFU]"
BXD_24831,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0003 (recF) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24832,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0007 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24833,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0009 (ppiA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24834,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0010c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24835,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0012 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24836,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0016c (pbpA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24837,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0017c (rodA) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24838,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0018c (ppp) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24839,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0019c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24840,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0020c (TB39.8) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24841,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0021c transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24842,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0022c (whiB5) transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24843,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0024 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24844,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0025 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24845,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0026 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24846,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0027 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
BXD_24847,"Infectious disease, immunology, meta-genomics: M. tuberculosis TnSeq Rv0028 transposon mutant abundance in vivo vs in vitro at 4 weeks post-infection [log2 fold change]"
